,Unnamed: 0,댓글
0,0,오래간만에 다시보니 시나리오가 정말 탄탄하네요. 왜 할리우드에서 리메이크 안하나 신기하네.
1,1,ㅎㅎㅎ 미국은 우리나라와 같은 예비군이 없어서 아닐까요 다 지원에 직업군인이라서요 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
2,2,어리버리 봉구 허봉구는 아직도 제모습 같아 보여서 정주행할때마다 감정이입이 여전히  되는 가장 친근한 영화중 하나인데  확실히 기차라는 공간은 잘만 활용하면 우리 사회의 모습을 압축시켜주는 좋은 재료인듯합니다  부산행도 잘만들어진 기차안에서 이뤄지는 영화지만  라이터를 켜라 역시 그 활용도를 매우 잘 이용한 영리한 영화라고 생각이 드네요 ㅎㅎ   그리고  차승원 이문식의 캐미는 진짜 코메디던 느와르던 어떤 장르를 가져다 붙혀놔도 두분의 호흡은 환상 그 이상이라 생각이드는데 개인적으로  낙원의 밤을 정말 재미없게 봤지만  차승원과 이문식의 중국집에서의  기싸움 장면 만큼은 낙원의 밤과 상관없이 완전히 다른 영화라고 생각하고 봤기 때문에 그 부분만큼은 보는 내내 살벌했었습니다 개인적으로  두분이 투톱 주연으로 하는  기깔나는  영화가 하나 나왔으면 좋겠네요~  아니면 낙원의밤 캐릭터만 따로 나와서 새로운 영화를 나와도 정말 재밌을듯
3,3,네 아이디어 좋고 재미진 영화죠 그리고 연기 잘 하는 차승원 이문식 배우님 케미나 호흡은 정말 최고죠 말씀처럼 두분 주연으로 한 영화 나오길 기대해보게 되네요 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
4,4, @리뷰극장  와 영상 만들기도 바쁘시고 힘드실텐데  진심으로 답변해주신점에 대해서 깊은 감사를 드립니다!  리뷰극장님도 새해복 많이 받으시고 올한해 10만명 달성하셔서 실버버튼 꼭 받으시길 바랍니다^^
5,5, @겐무  이렇게 응원과 덕담 해주시다니 정말 찐감사드립니다👍👍👍😁👍👍👍
6,6,예비군은 강하다
7,7,네 군필 예비군이 열라 강하죠 ㅎㅎㅎ 리뷰는 전체적으로 재밌게 보셨길 바라며 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
8,8,전혀 몰랐던 영화인데보고 나서 느낀게참 좋은 영화 재밋는 영화였음 ㅋㅋ
9,9,네 좋은 메세지도 있고 참 재미진 영화죠~^^ 그리고 재밌게 보셨다니 저도 기분이 참 좋고😁😁😁 시청해주셔서 찐감사드립니다👍👍👍 그리고 새해 복 마니마니 받으시고 행복하셨으면 좋겠습니다🥰🥰🥰
10,10,20년 된 영화잼나게 봤어요
