,Unnamed: 0,댓글
0,0,"구독, 알림, 좋아요, 착한댓글 부탁드립니다. 꾸벅(__)그리고 여성전용 카페를 안내해드릴게요☞ https://cafe.naver.com/ysooda"
1,1,안재모의  한사람을 위해 듣고싶어요
2,2,싯8ㅔ
3,3, @재성 고  ㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣ
4,4,ㅂ
5,5,정말 내가 좋아 했던90년~2000년대의노래들이 여기 다 있네요오랜 시간이 흘러도 영원히 우리들의가슴속에 기억 될  보석 같은 명곡들고맙습니다~~~
6,6,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
7,7,아 옛날이여 참 그립네요 고등학교때 마이마이로 많이 들었는데 ㅎㅎ 좋은 노래 감사합니다
8,8,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
9,9,나이가  먹는게 아니라 익어가는 45살이되어보니 예전에 풋풋한 감정들이 노래를 듣다보니 맘이  찡하고  애절하네요~감사히  잘듣고 가요~
10,10,"감사합니다.오셔서 대화해요.클릭 ☞ https://open.kakao.com/o/g3ZQgbRd"
11,11,지나고나니 저때가참그립구만유...엇그제같은 느낌인데 벌써 20여년전이니...언제가 내나이 60.70되어도 이음악들으면서 회상하긋지...좋은노래감사합니다..
12,12,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
13,13,
14,14,추억소환의 시간이었습니다 감사합니다
15,15,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
16,16,80년대는 감성을 울리고..90년대는 파릇파릇한 청춘을 울리네...
17,17,"감사합니다.오셔서 대화해요.클릭 ☞ https://open.kakao.com/o/gALoI1cd"
18,18,이상하게도 노래는 아무리 좋은 새 노래를 만난다해도나의 10~20대를 함께한 이때의 노래보다 좋은건 없네....옷도 새거 차도 새거 사람도 새사람? 이 좋던데 노래만큼은....ㅎㅎㅎ 감사합니다. 애들 픽업시간이 즐겁네요.^^
19,19,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
20,20,넘 좋은 명곡들로만 구성되어 있네요^^ 옛 추억들이 새록새록~~ 좋은 노래  마니마니 들려주셔서 감사해요 다시 이때로 돌아갈수 있다면 좋으련만 ㅜㅜ 흘러간 시간이 너무 아쉽네요.. 노래로나마 이때를 회상하며 추억에 젖어봅니다~~~
21,21,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
22,22,큰아이 학교 태워다주고 오는길에 들었어요. 아.. 간만에 첫사랑도 생각하고 당시 20년전 내 모습을 한번 떠올리며 미소 지어봅니다. 감사합니다 소통남님!
23,23,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
24,24,돌아가고싶어요!
25,25,아름다웠던 그시절이 그리워서 눈물이 나네요
26,26,"감사합니다.오셔서 대화해요.클릭 ☞ https://open.kakao.com/o/gALoI1cd"
27,27,음악에 따라 옛 추억들이 떠오르는...
28,28,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
29,29,나의20대 노래방 애창곡!!!  잘 듣고 있습니다
30,30,"감사합니다.오셔서 대화해요.클릭 ☞ https://open.kakao.com/o/gALoI1cd"
31,31,타임머신이있다면  90년대로돌아가고싶다
32,32,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
33,33,내가 좋아하는 노래다 있네요 고맙습니다
34,34,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
35,35,나의 고딩시절로 돌아간느낌ㅠㅠ 감사합니다  너무죠아요ㅠㅠ힐링하고있어요♡
36,36,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
37,37,너무너무 좋아요78년생인데 그노래가유행일때그 거리가그커피숍이그 옷들이그 친구들이 그립네요지금은 거의연락잘안하는 내친구들아모두 있는그곳에서 건강하고 행복해라모두 건강하자
38,38,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
39,39,5곡빼고는 첫소절만 듣고도 알수있을정도로 다 좋아하는곡이에요ᆢ가게에서 틀어놓고 종일 들어요ᆢ감사합니다ᆢ
40,40,"감사합니다.월요일부터 금요일까지 오후에 음악방송을 하니 시간 되시면 오세요.오늘도 건강하고 행복한 하루 보내세요."
41,41,다  똑같잖아요복사하기
42,42, @강진실  그렇죠.이것은 기계적인 답장이죠.^^그럼 카카오톡 플러스 친구 '소통남'에서 즐거운 상담을...^^
43,43,노래는 정말 좋아요~한곡마다 광고가ㅠㅠ
44,44,"감사합니다.오셔서 대화해요.클릭 ☞ https://open.kakao.com/o/gALoI1cd"
