,text
0,
0,으이그 그딴걸 자랑이라고 짖거리냐? 너거새끼가 학교째고 그래봐라 ㅉㅉ 하여간 자식은 부모를 닮는다더니 ㅉ
0,카타르에서는 경기장 건설하면서 6만명이 죽었다던데?
0,성인지 예산이 35조나 됐냐 ㅅㅂ....
0,ㅋㅋㅋ시진핑 개새끼 절대못하네
0,웬지 페미에 문슬람 같노 ㅋㅋㅋ
0,댓글들 꼬라지봐라ㅋㅋㅋㅋㅋ중국내 법 무시하고 불법저지른 판빙빙을 편들어주고있네 머가리들 비었나ㅋㅋㅋㅋ아무리 중국이 공산국가에 미개한나라라고 해도 불법저지른 년을 응원하냐
0,근데 왜 이제 와서 이사단 난거냐. 문재앙시키 또 뭔가 숨기는거 아니야
0,뭐 어쩌라고 이 아줌마들아 새벽에 혈압올려 ㅋㅋㅋㅋㅋ
0,"기록이 어느 기관 장부에 남든 간에, 여가부가 35조나되는 정부재원을 헛된 명목으로 관리하고 있다 ㅡ 이건 팩트니까 사라져야되는 게 맞음"
0,ㅇㅇ 끝
0,여가부 없애는 건 좋은데 나라 예산을 죄다 국방부에 갈아넣는건 좀 아니지 ㅋㅋㅋ 아무리 안보가 중요해도 다른 정책들은 안중에도 없고 그냥 2030 남자들 표심 잡겠다고 하는게 너무 보이잖아
0,목이 먼저 말라
0,연예인 장애로 바꿔라
0,가만히 놔두면 없어지노? 이미 부처별로 올해도 다 예산 먹었고 그중 탑3에 여가부는 있지도 않음 다 몰수해야함
0,팩트)짱깨는 저 돼면새끼가 빠는중 ㅋㅋ
0,태양광같은거 보면 대중들이 좆같아하는 포인트 잘알고 돈쳐먹는거 맞는듯
0,이필모 비호감.투머치 . 느끼함.서수연씨가 아깝네여ㅠ
0,청초하게 새침하게 예쁘노
0,이젠 별놈이 다뜨내 ㅋㅋ
0,"동거혼이 대세인 유럽도 사회유지가 되는데
한국이 저출산 꼬라박은 원인은 그냥 페미니즘 필두로한 개병신 피해의식임. "
0,"""아 그리고 난 지금 이혼할때 만난 변호사 소개로 근처 법원에서 일하는 여자 검사 만나고 있는데 만난지 얼마 안됐는데 임신했다....ㅋㅋ""

퐁르노 진짜 개좆같이 역겹네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
0,좆팔륙한테 당하고 이대남한테 화푸는 그것?
0,알았으니까 조용히 짜져있어...
0,광역시인데 진짜 창원보다 병신이노 ㅋㅋ 
0,참나 기사 쓰레기네 감빵에서 뭘하던 ...기사쓸게 그리없나 대한민국기자들의 표본이네 수준이 ....
0,성인지 관련된거 아닌데 책정된거 좀 있긴 있다했음. 그래도 잘못된거임
0,네 아줌마 
0,제가. 지금. 하는. 말은. 6070세대가. 쓰는 말투. 입니다.
0,그 임신만 줄기차게하는 개념없는 한뇬때문에
0,지역비하하지마라 마초코야 니 도태한남인거티내지마셈
0,"글이 아니고 피싼다는 표현이 ㄹㅇ 정신병자 같음
그걸 사이트 메인에 뜨게 방치하는 새끼도 정신병자 같음
외국인들 디씨 번역해서 다 보는데 피싸게라는거 보면 뭐라 생각하겠노
한녀는 0.1초도 욕안먹음 그냥 그런말 하는 한남이 욕 다처먹음"
0,뭘줘 왜뽑아병신들아 난이미전역해서못받는데 누구좋으라고 저걸뽑으란거임?ㅋㅋㅋㅋ좆까 씨발년들아
0,キムチ女は悪魔です。
0,"개쌍도 부심 씨발 ㅋㅋㅋㅋ 울산이 대기업이 가장 많데 ㅋㅋㅋㅋㅋㅋㅋ
국뽕도 울고갈 개쌍도뽕 오진다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
0,조작단거지sm찐따쇼나 남에프로에서까지 구걸하면서 말아먹지 말고 전현무데리고꺼져 이뇨나 너거들조작프로에나 게스트로구걸하고 해투피디델꼬 전현무랑 꺼져 양아치거지뇨나^^ ♡♡♡♡
