,Sentence #,Word,POS,Tag
0,Sentence: 2,으이그,IC,O
1,Sentence: 2,그딴,MM,O
2,Sentence: 2,걸,NNB+JKO,O
3,Sentence: 2,자랑,NNG,O
4,Sentence: 2,이,VCP,O
5,Sentence: 2,라고,EC,O
6,Sentence: 2,짖,VV,O
7,Sentence: 2,거리,ETM+NNB,O
8,Sentence: 2,냐,VCP+EF,O
9,Sentence: 2,?,SF,O
10,Sentence: 2,너거,NP+JKG,O
11,Sentence: 2,새끼,NNG,O
12,Sentence: 2,가,JKS,O
13,Sentence: 2,학교,NNG,O
14,Sentence: 2,째,XSN,O
15,Sentence: 2,고,VCP+EC,O
16,Sentence: 2,그래,VV+EC,O
17,Sentence: 2,봐라,VX+EF,O
18,Sentence: 2,ㅉㅉ,UNKNOWN,O
19,Sentence: 2,하여간,MAJ,O
20,Sentence: 2,자식,NNG,O
21,Sentence: 2,은,JX,O
22,Sentence: 2,부모,NNG,O
23,Sentence: 2,를,JKO,O
24,Sentence: 2,닮,VV,O
25,Sentence: 2,는다더니,EC,O
26,Sentence: 2,ㅉ,UNKNOWN,O
27,Sentence: 3,카타르,NNG,O
28,Sentence: 3,에서,JKB,O
29,Sentence: 3,는,JX,O
30,Sentence: 3,경기장,NNG,O
31,Sentence: 3,건설,NNG,O
32,Sentence: 3,하,XSV,O
33,Sentence: 3,면서,EC,O
34,Sentence: 3,6,SN,O
35,Sentence: 3,만,NR,O
36,Sentence: 3,명,NNBC,O
37,Sentence: 3,이,JKS,O
38,Sentence: 3,죽,VV,O
39,Sentence: 3,었,EP,O
40,Sentence: 3,다던데,EF,O
41,Sentence: 3,?,SF,O
42,Sentence: 4,성,NNG,O
43,Sentence: 4,인지,VCP+EC,O
44,Sentence: 4,예산,NNG,O
45,Sentence: 4,이,JKS,O
46,Sentence: 4,35,SN,O
47,Sentence: 4,조,NNG,O
48,Sentence: 4,나,JX,O
49,Sentence: 4,됐,VV+EP,O
50,Sentence: 4,냐,EC,O
51,Sentence: 4,ㅅ,NNG,O
52,Sentence: 4,ㅂ,NNG,O
53,Sentence: 4,.,SF,O
54,Sentence: 4,...,SY,O
55,Sentence: 5,ㅋㅋㅋ,IC,O
56,Sentence: 5,시진핑,NNP,O
57,Sentence: 5,개새끼,NNG,O
58,Sentence: 5,절대,MAG,O
59,Sentence: 5,못,MAG,O
60,Sentence: 5,하,VV,O
61,Sentence: 5,네,EC,O
62,Sentence: 6,웬지,NNP,O
63,Sentence: 6,페미,NNP,O
64,Sentence: 6,에,JKB,O
65,Sentence: 6,문,VV+ETM,O
66,Sentence: 6,슬,NNG,O
67,Sentence: 6,람,VCP+EC,O
68,Sentence: 6,같,VA,O
69,Sentence: 6,노,EF,O
70,Sentence: 6,ㅋㅋㅋ,IC,O
71,Sentence: 7,댓글,NNG,O
72,Sentence: 7,들,XSN,O
73,Sentence: 7,꼬라지,NNG,O
74,Sentence: 7,봐라,VV+EF,O
75,Sentence: 7,ㅋㅋㅋ,IC,O
76,Sentence: 7,ㅋㅋ,IC,O
77,Sentence: 7,중국,NNP,O
78,Sentence: 7,내,NNB,O
79,Sentence: 7,법,NNG,O
80,Sentence: 7,무시,NNG,O
81,Sentence: 7,하,XSV,O
82,Sentence: 7,고,EC,O
83,Sentence: 7,불법,NNG,O
84,Sentence: 7,저지른,VV+ETM,O
85,Sentence: 7,판빙빙,NNP,O
86,Sentence: 7,을,JKO,O
87,Sentence: 7,편들,VV,O
88,Sentence: 7,어,EC,O
89,Sentence: 7,주,VX,O
90,Sentence: 7,고,EC,O
91,Sentence: 7,있,VX,O
92,Sentence: 7,네,EF,O
93,Sentence: 7,머,IC,O
94,Sentence: 7,가리,NNG,O
95,Sentence: 7,들,XSN,O
96,Sentence: 7,비,VV,O
97,Sentence: 7,었,EP,O
98,Sentence: 7,나,EF,O
99,Sentence: 7,ㅋㅋ,IC,O
100,Sentence: 7,ㅋㅋ,IC,O
101,Sentence: 7,아무리,MAG,O
102,Sentence: 7,중국,NNP,O
103,Sentence: 7,이,JKS,O
104,Sentence: 7,공산,NNG,O
105,Sentence: 7,국가,NNG,O
106,Sentence: 7,에,JKB,O
107,Sentence: 7,미개,XR,O
108,Sentence: 7,한,XSA+ETM,O
109,Sentence: 7,나라,NNG,O
110,Sentence: 7,라고,VCP+EC,O
111,Sentence: 7,해도,VV+EC,O
112,Sentence: 7,불법,NNG,O
113,Sentence: 7,저지른,VV+ETM,O
114,Sentence: 7,년,NNB,O
115,Sentence: 7,을,JKO,O
116,Sentence: 7,응원,NNG,O
117,Sentence: 7,하,XSV,O
118,Sentence: 7,냐,EC,O
119,Sentence: 8,근데,MAJ,O
120,Sentence: 8,왜,MAG,O
121,Sentence: 8,이제,MAG,O
122,Sentence: 8,와서,VV+EC,O
123,Sentence: 8,이사단,NNG,O
124,Sentence: 8,난,VV+ETM,O
125,Sentence: 8,거,NNB,O
126,Sentence: 8,냐,VCP+EF,O
127,Sentence: 8,.,SF,O
128,Sentence: 8,문,NNG,O
129,Sentence: 8,재앙,NNG,O
130,Sentence: 8,시키,XSV+EC,O
131,Sentence: 8,또,MAG,O
132,Sentence: 8,뭔가,NP+VCP+EC,O
133,Sentence: 8,숨기,VV,O
134,Sentence: 8,는,ETM,O
135,Sentence: 8,거,NNB,O
136,Sentence: 8,아니,VCN,O
137,Sentence: 8,야,EC,O
138,Sentence: 9,뭐,IC,O
139,Sentence: 9,어쩌,VV,O
140,Sentence: 9,라고,EC,O
141,Sentence: 9,이,MM,O
142,Sentence: 9,아줌마,NNG,O
143,Sentence: 9,들,XSN,O
144,Sentence: 9,아,JKV,O
145,Sentence: 9,새벽,NNG,O
146,Sentence: 9,에,JKB,O
147,Sentence: 9,혈압,NNG,O
148,Sentence: 9,올려,VV+EC,O
149,Sentence: 9,ㅋㅋㅋ,IC,O
150,Sentence: 9,ㅋㅋ,IC,O
151,Sentence: 10,기록,NNG,O
152,Sentence: 10,이,JKS,O
153,Sentence: 10,어느,MM,O
154,Sentence: 10,기관,NNG,O
155,Sentence: 10,장부,NNG,O
156,Sentence: 10,에,JKB,O
157,Sentence: 10,남,VV,O
158,Sentence: 10,든,EC,O
159,Sentence: 10,간,NNB,O
160,Sentence: 10,에,JKB,O
161,Sentence: 10,",",SC,O
162,Sentence: 10,여가부,NNP,O
163,Sentence: 10,가,JKS,O
164,Sentence: 10,35,SN,O
165,Sentence: 10,조,NNG,O
166,Sentence: 10,나,JX,O
167,Sentence: 10,되,VV,O
168,Sentence: 10,는,ETM,O
169,Sentence: 10,정부,NNG,O
170,Sentence: 10,재원,NNG,O
171,Sentence: 10,을,JKO,O
172,Sentence: 10,헛된,VA+ETM,O
173,Sentence: 10,명목,NNG,O
174,Sentence: 10,으로,JKB,O
175,Sentence: 10,관리,NNG,O
176,Sentence: 10,하,XSV,O
177,Sentence: 10,고,EC,O
178,Sentence: 10,있,VX,O
179,Sentence: 10,다,EF,O
180,Sentence: 10,ㅡ,UNKNOWN,O
181,Sentence: 10,이건,NP+JX,O
182,Sentence: 10,팩,MAG,O
183,Sentence: 10,트,VV,O
184,Sentence: 10,니까,EC,O
185,Sentence: 10,사라져야,VV+EC,O
186,Sentence: 10,되,VV,O
187,Sentence: 10,는,ETM,O
188,Sentence: 10,게,NNB+JKS,O
189,Sentence: 10,맞음,NNG,O
190,Sentence: 11,ㅇㅇ,UNKNOWN,O
191,Sentence: 11,끝,NNG,O
192,Sentence: 12,여가부,NNP,O
193,Sentence: 12,없애,VV,O
194,Sentence: 12,는,ETM,O
195,Sentence: 12,건,NNB+JX,O
196,Sentence: 12,좋,VA,O
197,Sentence: 12,은데,EC,O
198,Sentence: 12,나라,NNG,O
199,Sentence: 12,예산,NNG,O
200,Sentence: 12,을,JKO,O
201,Sentence: 12,죄다,MAG,O
202,Sentence: 12,국방부,NNG,O
203,Sentence: 12,에,JKB,O
204,Sentence: 12,갈,VV,O
205,Sentence: 12,아,EC,O
206,Sentence: 12,넣,VV,O
207,Sentence: 12,는,ETM,O
208,Sentence: 12,건,NNB+JX,O
209,Sentence: 12,좀,MAG,O
210,Sentence: 12,아니,VCN,O
211,Sentence: 12,지,EF,O
212,Sentence: 12,ㅋㅋㅋ,IC,O
213,Sentence: 12,아무리,MAG,O
214,Sentence: 12,안보,NNG,O
215,Sentence: 12,가,JKS,O
216,Sentence: 12,중요,NNG,O
217,Sentence: 12,해도,XSV+EC,O
218,Sentence: 12,다른,MM,O
219,Sentence: 12,정책,NNG,O
220,Sentence: 12,들,XSN,O
221,Sentence: 12,은,JX,O
222,Sentence: 12,안중,NNG,O
223,Sentence: 12,에,JKB,O
224,Sentence: 12,도,JX,O
225,Sentence: 12,없,VA,O
226,Sentence: 12,고,EC,O
227,Sentence: 12,그냥,MAG,O
228,Sentence: 12,2030,SN,O
229,Sentence: 12,남자,NNG,O
230,Sentence: 12,들,XSN,O
231,Sentence: 12,표,NNG,O
232,Sentence: 12,심,XSN,O
233,Sentence: 12,잡,VV,O
234,Sentence: 12,겠,EP,O
235,Sentence: 12,다고,EC,O
236,Sentence: 12,하,VV,O
237,Sentence: 12,는,ETM,O
238,Sentence: 12,게,NNB+JKS,O
239,Sentence: 12,너무,MAG,O
240,Sentence: 12,보이,VV,O
241,Sentence: 12,잖아,EC,O
242,Sentence: 13,목,NNG,O
