1,2,3,BIO
61108,Sentence: 2001,불,O
61109,Sentence: 2001,매,O
61110,Sentence: 2001,불,O
61111,Sentence: 2001,타,O
61112,Sentence: 2001,는,O
61113,Sentence: 2001,매,O
61114,Sentence: 2001,수,O
61115,Sentence: 2001,뒈,O
61116,Sentence: 2001,궤,O
61117,Sentence: 2001,줴,O
61118,Sentence: 2001,ㅋ,O
61119,Sentence: 2001,ㅋ,O
61120,Sentence: 2001,ㅋ,O
61121,Sentence: 2001,ㅋ,O
61122,Sentence: 2001,ㅋ,O
61123,Sentence: 2001,ㅋ,O
61124,Sentence: 2001,ㅋ,O
61125,Sentence: 2002,스,O
61126,Sentence: 2002,벅,O
61127,Sentence: 2002,가,O
61128,Sentence: 2002,면,O
61129,Sentence: 2002,카,O
61130,Sentence: 2002,니,O
61131,Sentence: 2002,발,O
61132,Sentence: 2002,탄,O
61133,Sentence: 2002,좇,O
61134,Sentence: 2002,팔,O
61135,Sentence: 2002,육,O
61136,Sentence: 2002,들,O
61137,Sentence: 2002,존,O
61138,Sentence: 2002,나,O
61139,Sentence: 2002,많,O
61140,Sentence: 2002,은,O
61141,Sentence: 2002,데,O
61142,Sentence: 2002,불,O
61143,Sentence: 2002,매,O
61144,Sentence: 2002,하,O
61145,Sentence: 2002,는,O
61146,Sentence: 2002,거,O
61147,Sentence: 2002,맞,O
61148,Sentence: 2002,음,O
61149,Sentence: 2002,ㅋ,O
61150,Sentence: 2002,ㅋ,O
61151,Sentence: 2003,여,O
61152,Sentence: 2003,자,O
61153,Sentence: 2003,가,O
61154,Sentence: 2003,스,O
61155,Sentence: 2003,벅,O
61156,Sentence: 2003,을,O
61157,Sentence: 2003,포,O
61158,Sentence: 2003,기,O
61159,Sentence: 2003,할,O
61160,Sentence: 2003,거,O
61161,Sentence: 2003,라,O
61162,Sentence: 2003,생,O
61163,Sentence: 2003,각,O
61164,Sentence: 2003,했,O
61165,Sentence: 2003,나,O
61166,Sentence: 2003,저,O
61167,Sentence: 2003,병,O
61168,Sentence: 2003,신,O
61169,Sentence: 2003,들,O
61170,Sentence: 2003,은,O
61171,Sentence: 2003,ㅋ,O
61172,Sentence: 2003,ㅋ,O
61173,Sentence: 2003,ㅋ,O
61174,Sentence: 2003,ㅋ,O
61175,Sentence: 2003,ㅋ,O
61176,Sentence: 2004,한,O
61177,Sentence: 2004,달,O
61178,Sentence: 2004,에,O
61179,Sentence: 2004,최,O
61180,Sentence: 2004,소,O
61181,Sentence: 2004,는,O
61182,Sentence: 2004,채,O
61183,Sentence: 2004,소,O
61184,Sentence: 2004,1,O
61185,Sentence: 2004,0,O
61186,Sentence: 2004,만,O
61187,Sentence: 2004,원,O
61188,Sentence: 2004,어,O
61189,Sentence: 2004,치,O
61190,Sentence: 2004,는,O
61191,Sentence: 2004,먹,O
61192,Sentence: 2004,어,O
61193,Sentence: 2004,야,O
61194,Sentence: 2004,지,O
61195,Sentence: 2004,ㅋ,O
61196,Sentence: 2004,ㅋ,O
61197,Sentence: 2004,ㅋ,O
61198,Sentence: 2004,ㅋ,O
61199,Sentence: 2004,미,O
61200,Sentence: 2004,치,O
61201,Sentence: 2004,겠,O
61202,Sentence: 2004,네,O
61203,Sentence: 2004,ㅋ,O
61204,Sentence: 2004,ㅋ,O
61205,Sentence: 2004,ㅋ,O
61206,Sentence: 2004,ㅋ,O
61207,Sentence: 2004,ㅋ,O
61208,Sentence: 2004,ㅋ,O
61209,Sentence: 2004,ㅋ,O
61210,Sentence: 2004,ㅋ,O
61211,Sentence: 2005,지,O
61212,Sentence: 2005,들,O
61213,Sentence: 2005,끼,O
61214,Sentence: 2005,리,O
61215,Sentence: 2005,총,O
61216,Sentence: 2005,질,O
61217,Sentence: 2005,하,O
61218,Sentence: 2005,고,O
61219,Sentence: 2005,난,O
61220,Sentence: 2005,리,O
61221,Sentence: 2005,났,O
61222,Sentence: 2005,노,B
61223,Sentence: 2005,ㅋ,O
61224,Sentence: 2005,ㅋ,O
